bio:participant,Identifier,dcterms:title,Title,bio:date,dcterms:type,dcterms:type,dcterms:description,foaf:age ,schema:comment,schema:totalPrice,schema:currency,schema:priceSpecification,schema:duration,Seller,Identifier,schema:seller,buyer,Identifier,schema:buyer,schema:location ,SJ,SJ ID,Knows of ,dcterms:source,dcterms:source,dcterms:source
3595,2521,"1839-06-20, Alexis sale",Alexis,1839-06-20,sale,,sold to Dorsey,,,,,,,Joseph Carbery,J033,998,sold to Dorsey,NJ039,1063,3,,,,http://slaveryarchive.georgetown.edu/items/show/312,,
3596,2522,"1839-06-20, Bets sale",Bets,1839-06-20,sale,,sold to William Smith,,,,,,,Joseph Carbery,J033,998,sold to William Smith,NJ106,3717,3,,,,http://slaveryarchive.georgetown.edu/items/show/312,,
3597,2523,"1839-06-20, Gabe sale",Gabe,1839-06-20,sale,,sold to Colonel Joseph Harris,,,,,,,Joseph Carbery,J033,998,sold to Colonel Joseph Harris,NJ109,3720,3,,,,http://slaveryarchive.georgetown.edu/items/show/312,,
3598,2524,"1839-06-20, Joe sale",Joe,1839-06-20,sale,,sold to Dorsey,,,,,,,Joseph Carbery,J033,998,sold to Dorsey,NJ039,1063,3,,,,http://slaveryarchive.georgetown.edu/items/show/312,,
3599,2526,"1839-06-20, Michael sale",Michael,1839-06-20,sale,,sold to Dorsey,,,,,,,Joseph Carbery,J033,998,sold to Dorsey,NJ039,1063,3,,,,http://slaveryarchive.georgetown.edu/items/show/312,,
3600,2527,"1839-06-20, Ragis sale",Ragis,1839-06-20,sale,,sold to Dorsey,,,,,,,Joseph Carbery,J033,998,sold to Dorsey,NJ039,1063,3,,,,http://slaveryarchive.georgetown.edu/items/show/312,,
3601,2528,"1839-06-20, Regis sale",Regis,1839-06-20,sale,,sold to Dorsey,,,,,,,Joseph Carbery,J033,998,sold to Dorsey,NJ039,1063,3,,,,http://slaveryarchive.georgetown.edu/items/show/312,,
3602,2529,"1839-06-20, Harry sale",Young Harry,1839-06-20,sale,,sold to William Smith,,,,,,,Joseph Carbery,J033,998,sold to William Smith,NJ106,3717,3,,,,http://slaveryarchive.georgetown.edu/items/show/312,,
3603,2529,"1839-06-20, Zekiel sale",Zekiel,1839-06-20,sale,,sold to Dorsey,,,,,,,Joseph Carbery,J033,998,sold to Dorsey,NJ039,1063,3,,,,http://slaveryarchive.georgetown.edu/items/show/312,,
1944,7042,"1727-10-02, Person sale ",Person,1727-10-02,sale,,sold to brother Thomas Attwood,,,,L,300L/12,,property of George Attwood,J048,1013,sold to Thomas Attwood,NJ033,1057,1120,,,,MPA-35-6-AttwoodSellsHisBrother12Slaves-1727-10-02,,
1945,7043,"1727-10-02, Person sale ",Person,1727-10-02,sale,,sold to brother Thomas Attwood,,,,L,300L/12,,property of George Attwood,J048,1013,sold to Thomas Attwood,NJ033,1057,1120,,,,MPA-35-6-AttwoodSellsHisBrother12Slaves-1727-10-02,,
1946,7044,"1727-10-02, Person sale ",Person,1727-10-02,sale,,sold to brother Thomas Attwood,,,,L,300L/12,,property of George Attwood,J048,1013,sold to Thomas Attwood,NJ033,1057,1120,,,,MPA-35-6-AttwoodSellsHisBrother12Slaves-1727-10-02,,
1947,7045,"1727-10-02, Person sale ",Person,1727-10-02,sale,,sold to brother Thomas Attwood,,,,L,300L/12,,property of George Attwood,J048,1013,sold to Thomas Attwood,NJ033,1057,1120,,,,MPA-35-6-AttwoodSellsHisBrother12Slaves-1727-10-02,,
1948,7046,"1727-10-02, Person sale ",Person,1727-10-02,sale,,sold to brother Thomas Attwood,,,,L,300L/12,,property of George Attwood,J048,1013,sold to Thomas Attwood,NJ033,1057,1120,,,,MPA-35-6-AttwoodSellsHisBrother12Slaves-1727-10-02,,
1949,7047,"1727-10-02, Person sale ",Person,1727-10-02,sale,,sold to brother Thomas Attwood,,,,L,300L/12,,property of George Attwood,J048,1013,sold to Thomas Attwood,NJ033,1057,1120,,,,MPA-35-6-AttwoodSellsHisBrother12Slaves-1727-10-02,,
1950,7048,"1727-10-02, Person sale ",Person,1727-10-02,sale,,sold to brother Thomas Attwood,,,,L,300L/12,,property of George Attwood,J048,1013,sold to Thomas Attwood,NJ033,1057,1120,,,,MPA-35-6-AttwoodSellsHisBrother12Slaves-1727-10-02,,
1951,7049,"1727-10-02, Person sale ",Person,1727-10-02,sale,,sold to brother Thomas Attwood,,,,L,300L/12,,property of George Attwood,J048,1013,sold to Thomas Attwood,NJ033,1057,1120,,,,MPA-35-6-AttwoodSellsHisBrother12Slaves-1727-10-02,,
1952,7050,"1727-10-02, Person sale ",Person,1727-10-02,sale,,sold to brother Thomas Attwood,,,,L,300L/12,,property of George Attwood,J048,1013,sold to Thomas Attwood,NJ033,1057,1120,,,,MPA-35-6-AttwoodSellsHisBrother12Slaves-1727-10-02,,
1953,7051,"1727-10-02, Person sale ",Person,1727-10-02,sale,,sold to brother Thomas Attwood,,,,L,300L/12,,property of George Attwood,J048,1013,sold to Thomas Attwood,NJ033,1057,1120,,,,MPA-35-6-AttwoodSellsHisBrother12Slaves-1727-10-02,,
1954,7052,"1727-10-02, Person sale ",Person,1727-10-02,sale,,sold to brother Thomas Attwood,,,,L,300L/12,,property of George Attwood,J048,1013,sold to Thomas Attwood,NJ033,1057,1120,,,,MPA-35-6-AttwoodSellsHisBrother12Slaves-1727-10-02,,
1955,7053,"1727-10-02, Person sale ",Person,1727-10-02,sale,,sold to brother Thomas Attwood,,,,L,300L/12,,property of George Attwood,J048,1013,sold to Thomas Attwood,NJ033,1057,1120,,,,MPA-35-6-AttwoodSellsHisBrother12Slaves-1727-10-02,,
1914,5039,"1790-07-01, Esther sale ",Esther,1790-07-01,sale,,payments continue through the month form D. Hains and Wm. Nielforn,,,30,L,,,,,,purchased by David Hains,NJ066,1091,1,,,,MPA-49-3-BohemiaDayBook-1790-1870.json,,
1918,5043,"1790-07-06, Nell sale ",Nell,1790-07-06,sale,,Purchaser and son have the same first name -- low price -- could be family reunification,,,,L,$4/2,,,,,purchased by Perry Greenwood,NJ068,1093,1,,,,https://slaveryarchive.georgetown.edu/items/show/206,,
1919,5044,"1790-07-06, Perry sale ",Perry,1790-07-06,sale,,Purchaser and son have the same first name -- low price -- could be family reunification,,,,L,$4/2,,,,,purchased by Perry Greenwood,NJ068,1093,1,,,,https://slaveryarchive.georgetown.edu/items/show/206,,
1920,5045,"1790-09-09, Martha sale ",Martha,1790-09-09,sale,,Received from Thom McKenny in part for Negro Martha,,,,,,,,,,purchased by Thomas McKenny,NJ069,1094,1,,,,MPA-49-3-BohemiaDayBook-1790-1870.json,,
1921,5046,"1791-01-14, Sarah sale ",Sarah,1791-01-14,sale,,sold Aitkey Pennington a Negro girl (Sarah) and a negro boy (Jerry) for L50,,,,L,L50/2,,,,,purchased by Aitkey Pennington,NJ070,1095,1,,,,http://slaveryarchive.georgetown.edu/items/show/271,,
1922,5047,"1791-01-14, Jerry sale ",Jerry,1791-01-14,sale,,sold Aitkey Pennington a Negro girl (Sarah) and a negro boy (Jerry) for L50,,,,L,L50/2,,,,,purchased by Aitkey Pennington,NJ070,1095,1,,,,http://slaveryarchive.georgetown.edu/items/show/271,,
1915,5040,"1791-07-02, Kate sale ",Kate,1791-07-02,sale,,to John Carty,,,,L,L40/3,,,,,purchased by John Carty,NJ067,1092,1,,,,http://slaveryarchive.georgetown.edu/items/show/199,,
1916,5041,"1791-07-02, Jonathan sale ",Jonathan,1791-07-02,sale,,to John Carty,,,,L,L40/3,,,,,purchased by John Carty,NJ067,1092,1,,,,http://slaveryarchive.georgetown.edu/items/show/199,,
1917,5042,"1791-07-02, Bob sale ",Bob,1791-07-02,sale,,to John Carty,,,,L,L40/3,,,,,purchased by John Carty,NJ067,1092,1,,,,http://slaveryarchive.georgetown.edu/items/show/199,,
1924,5500,"1792-02-27, Dina sale ",Dina,1792-02-27,sale,,"sold to John Ryland for payment of smith’s tools, a gray mare, and cash",,,,L,L50/3,,,,,purchased by John Ryland,NJ073,1098,1,,,,http://slaveryarchive.georgetown.edu/items/show/279,,
1925,5053,"1792-02-27, Jemima sale ",Jemima,1792-02-27,sale,,"sold to John Ryland for payment of smith’s tools, a gray mare, and cash",,,,L,L50/3,,,,,purchased by John Ryland,NJ073,1098,1,,,,http://slaveryarchive.georgetown.edu/items/show/279,,
1934,5105,"1792-02-27, Jacob sale ",Jacob,1792-02-27,sale,,"sold to John Ryland for payment of smith’s tools, a gray mare, and cash",,,,L,L50/3,,,,,purchased by John Ryland,NJ073,1098,1,,,,http://slaveryarchive.georgetown.edu/items/show/279,,
1926,5054,"1792-03-17, William sale ",William,1792-03-17,sale,,sold to Robt Milligan,,,75,L,,,,,,purchased by Robert Milligan,NJ099,1127,1,,,,http://slaveryarchive.georgetown.edu/items/show/250,,
1858,5048,"1793-04-04, Mary sale ",Mary,1793-04-04,sale,,recd payment in cash L26.7.6 -- Pat answerable for the rest L13.12.6 -- partial payment made on April 25 & 30 (family reunification),,,,L,L40/3,,,,,purchased by Pat,5051,,1,,,,http://slaveryarchive.georgetown.edu/items/show/277,,
1859,5049,"1793-04-04, Hannah sale ",Hannah,1793-04-04,sale,,recd payment in cash L26.7.6 -- Pat answerable for the rest L13.12.6 -- partial payment made on April 25 & 30 (family reunification),,,,L,L40/3,,,,,purchased by Pat,5051,,1,,,,http://slaveryarchive.georgetown.edu/items/show/277,,
1860,5050,"1793-04-04, Isaac sale ",Isaac,1793-04-04,sale,,recd payment in cash L26.7.6 -- Pat answerable for the rest L13.12.6 -- partial payment made on April 25 & 30 (family reunification),,,,L,L40/3,,,,,purchased by Pat,5051,,1,,,,http://slaveryarchive.georgetown.edu/items/show/277,,
1929,5091,"1794-01-08, Nell sale ",Nell,1794-01-08,sale,,sold to George Reece,3,weeks,,L,L35/2,,,,,purchased by George Reese,NJ095,1123,1,,,,http://slaveryarchive.georgetown.edu/items/show/331,,
1933,5104,"1794-01-08, Philis sale ",Philis,1794-01-08,sale,,sold to George Reece,,,,L,L35/2,,,,,purchased by George Reese,NJ095,1123,1,,,,http://slaveryarchive.georgetown.edu/items/show/331,,
1931,5098,"1795-02-11, Clara sale ",Clara,1795-02-11,sale,,sold to Nelly,4,,5,L,,,,,,purchased by Nelly,,,1,,,,http://slaveryarchive.georgetown.edu/items/show/331,,
1444,5063,"1795-02-13, Lucy sale ",Lucy,1795-02-13,sale,,,,,,L,L80/2,,,,,purchased by John Cainan,NJ097,1125,1,,,,http://slaveryarchive.georgetown.edu/items/show/331,,
1930,5097,"1795-02-13, Bob sale ",Bob,1795-02-13,sale,,,,,,L,L80/2,,,,,purchased by John Cainan,NJ097,1125,1,,,,http://slaveryarchive.georgetown.edu/items/show/331,,
1450,5070,"1795-02-28, Nelly sale ",Nelly,1795-02-28,sale,,,,,,L,L70/3,,,,,purchased by Robert Hodgson,NJ096,1124,1,,,,http://slaveryarchive.georgetown.edu/items/show/331,,
1692,5073,"1795-02-28, Ralph sale ",Ralph,1795-02-28,sale,,,,,,L,L70/3,,,,,purchased by Robert Hodgson,NJ096,1124,1,,,,http://slaveryarchive.georgetown.edu/items/show/331,,
1932,5103,"1795-02-28, Jany sale ",Jany,1795-02-28,sale,,,,,,L,L70/3,,,,,purchased by Robert Hodgson,NJ096,1124,1,,,,http://slaveryarchive.georgetown.edu/items/show/331,,
1440,5052,"1796-04-19, Henny sale ",Henny,1796-04-19,sale,,sold a negro woman named Henny -- sick and ran away,,,15,L,,,,,,,,,1,,,,http://slaveryarchive.georgetown.edu/items/show/248,,
1927,5081,"1797-12, Man sale ",Man,1797-12,sale,,to James O’Donald,,,10.1,L,,,,,,purchased by James O’Donald,NJ027,1051,1,,,,1790-MPC-1-1-Records of Bohemia-1790.json,,
1928,5082,"1797-12, Man sale ",Man,1797-12,sale,,to James Pennington,,,2.5.6,L,,,,,,purchased by James Pennington,NJ098,1126,1,,,,1790-MPC-1-1-Records of Bohemia-1790.json,,
1943,7041,"1803-05-07, Nann sale ",Nann,1803-05-07,sale,,sold to Woods & Alston of Georgia,21,,250,$,,,property of William Hall 3d,NJ031,1055,sold to Woods & Alston,NJ032,1056,1120,,,,MPA-35-6-WilliamHall-SlaveSaleToGeorgia-1803-05-07.json,,
3593,1183,"1803-09-19, Sophia sale ",Sophia,1803-09-19,sale,,Nancy purchasing her daughter’s freedom,,,50,$,,,,,,purchased by Nancy,,,5,,,,https://slaveryarchive.georgetown.edu/items/show/235,,
1970,7202,"1806-05-20, Wat sale ",Wat,1806-05-20,sale,,sold to Francis Neale at St. Inigoes,,,500,$,,,,,,sold to Francis Neale,J011,976,7,,,,GUArchives-Expenses-1801-1808.json,,
1878,1072,"1809-06-26, George sale ",George,1809-06-26,sale,,,,,300,$,,,,,,,,,5,,,,http://slaveryarchive.georgetown.edu/items/show/193,,
1879,2100,"1809-06-26, Person sale ",Person,1809-06-26,sale,,young and old,,,,$,8/$1300,,,,,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/193,,
1880,2101,"1809-06-26, Person sale ",Person,1809-06-26,sale,,young and old,,,,$,8/$1300,,,,,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/193,,
1881,2102,"1809-06-26, Person sale ",Person,1809-06-26,sale,,young and old,,,,$,8/$1300,,,,,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/193,,
1882,2103,"1809-06-26, Person sale ",Person,1809-06-26,sale,,young and old,,,,$,8/$1300,,,,,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/193,,
1883,2104,"1809-06-26, Person sale ",Person,1809-06-26,sale,,young and old,,,,$,8/$1300,,,,,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/193,,
1884,2105,"1809-06-26, Person sale ",Person,1809-06-26,sale,,young and old,,,,$,8/$1300,,,,,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/193,,
1885,2106,"1809-06-26, Person sale ",Person,1809-06-26,sale,,young and old,,,,$,8/$1300,,,,,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/193,,
1886,2107,"1809-06-26, Person sale ",Person,1809-06-26,sale,,young and old,,,,$,8/$1300,,,,,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/193,,
1887,2108,"1809-06-26, Person sale ",Person,1809-06-26,sale,,young and old,,,,$,8/$1300,,,,,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/193,,
1888,2114,"1809-06-26, Husband sale ",Husband,1809-06-26,sale,,"supernumerary, elderly",,,,$,2/$350.00,,,,,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/193,,
1889,2115,"1809-06-26, Wife sale ",Wife,1809-06-26,sale,,"supernumerary, elderly",,,,$,2/$350.00,,,,,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/193,,
1890,7003,"1809-06-26, Gervase sale ",Gervase,1809-06-26,sale,,from Corporation to Bitonzey,,,,,,,,,,G.B. Bitonzey,J015,980,6,,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-24-1-ProceedingsoftheCorporationVol1-1809-06-26.json""",,
1599,7101,"1810-07-06, Liddy sale ",Liddy,1810-07-06,sale,,to Philip Bussard (the purchase is being made by Liddy’s husband Bill with first $20 from him),,,240,$,,,,,,sold to Philip Bussard,NJ079,1104,7,,,,GUArchives-Ledger-1803-1813.json,http://slaveryarchive.georgetown.edu/items/show/106,GUArchives-DayBook-1809-1812.json
1938,6118,"1811-02-11, Jim sale ",Jim,1811-02-11,sale,,To 1 negro by Jim for 330$,,,330,$,,,,,,,,,2,Ignatius Brooks,J050,1015,MPA-45-3-NewtownDayBook-1807-1816.json,,
1956,7061,"1813-08-10, Mary sale ",Mary,1813-08-10,sale,,,,,,,,,property of Monica Fenwick,NJ018,1042,sold to Francis Fenwick,NJ034,1058,1120,George Fenwick,J049,1014,MPA-39-2-Margaret-Francis-Fenwick-sale-1813-08-10,,
1957,7062,"1813-08-10, Hillary sale ",Hillary,1813-08-10,sale,,,,,,,,,property of Monica Fenwick,NJ018,1042,sold to Francis Fenwick,NJ034,1058,1120,George Fenwick,J049,1014,MPA-39-2-Margaret-Francis-Fenwick-sale-1813-08-10,,
1958,7063,"1813-08-10, Basila sale ",Basila,1813-08-10,sale,,,,,,,,,property of Monica Fenwick,NJ018,1042,sold to Francis Fenwick,NJ034,1058,1120,George Fenwick,J049,1014,MPA-39-2-Margaret-Francis-Fenwick-sale-1813-08-10,,
1959,7064,"1813-08-10, Matilda sale ",Matilda,1813-08-10,sale,,,,,,,,,property of Monica Fenwick,NJ018,1042,sold to Francis Fenwick,NJ034,1058,1120,George Fenwick,J049,1014,MPA-39-2-Margaret-Francis-Fenwick-sale-1813-08-10,,
1960,7065,"1813-08-10, Ann sale ",Ann,1813-08-10,sale,,,,,,,,,property of Monica Fenwick,NJ018,1042,sold to Francis Fenwick,NJ034,1058,1120,George Fenwick,J049,1014,MPA-39-2-Margaret-Francis-Fenwick-sale-1813-08-10,,
1602,7116,"1814-01-30, Isaac sale ",Isaac,1814-01-30,sale,,after running away from the college and being captured Isaac was sold to someone in Hartford Count,,,,,,,,,,,,,7,Francis Neale,J011,976,http://slaveryarchive.georgetown.edu/items/show/25,,
1935,6114,"1814-03-10, Mary sale ",Mary,1814-03-10,sale,,Mary and her child,,,280,$,,,,,,,,,2,Ignatius Brooks,J050,1015,MPA-45-1-NewtownLedger-1794-1816.json,,
1936,6115,"1814-03-10, Child sale ",Child,1814-03-10,sale,,Mary and her child,,,,,,,,,,,,,2,Ignatius Brooks,J050,1015,MPA-45-1-NewtownLedger-1794-1816.json,,
1325,6132,"1815-04, Raphael sale ",Raphael,1815-04,sale,,Might be Rapl,,,420,$,,,,,,,,,2,Ignatius Brooks,J050,1015,MPA-45-1-NewtownLedger-1794-1816.json,,
1967,7083,"1817-01-21, Michael sale ",Michael,1817-01-21,sale,,Francis Fenwick to Margaret Fenwick,28,,400,$,,,property of Francis Fenwick,NJ034,1058,sold to Margaret Fenwick,NJ018,1058,1120,John McElroy,J007,972,MPA-40-3-FrancisFenwick-SellsMichaelto-MargaretFenwick-1817-01-21.json,,
1939,6119,"1823-01-08, Person sale ",Person,1823-01-08,sale,,Two small negroes sold to James Marymann. payment of $300 in January. $50 on April,,,,$,$350/2,,,,,purchased by James Marymann,NJ059,1084,2,,,,MPA-46-1-NewtownAccountsLedger-1816-1832.json,,
1940,6120,"1823-01-08, Person sale ",Person,1823-01-08,sale,,Two small negroes sold to James Marymann. payment of $300 in January. $50 on April,,,,$,$350/2,,,,,purchased by James Marymann,NJ059,1084,2,,,,MPA-46-1-NewtownAccountsLedger-1816-1832.json,,
1961,7066,"1830-10-15, Harriet sale ",Harriet,1830-10-15,sale,,in repayment of Eleanor Fenwick’s debt,27,,210,$,,,,,,sold to John G. Johnson,NJ035,1059,7,George Fenwick,J049,1014,https://slaveryarchive.georgetown.edu/items/show/220,,
1434,2209,"1836-05-18, Nace sale ",Nace,1836-05-18,sale,,sold out of state to S. Henry Gough. May be one of the 11 reported sold for $4000 on 1835-09-19 and mentioned in Grivel’s letter to Lancaster in 1836-01-06.,47,,110,$,,,,,,purchased by S. Henry Gough,NJ107,3718,3,,,,http://slaveryarchive.georgetown.edu/items/show/311,http://slaveryarchive.georgetown.edu/items/show/159,MPA-65-2-Grivel-Lancaster-1836-01-06.json
1989,2249,"1836-05-18, Basil  sale ",Basil ,1836-05-18,sale,,sold out of state to S. Henry Gough. May be one of the 11 reported sold for $4000 on 1835-09-19 and mentioned in Grivel’s letter to Lancaster in 1836-01-06.,25,,125,$,,,,,,purchased by S. Henry Gough,NJ107,3718,3,,,,http://slaveryarchive.georgetown.edu/items/show/311,http://slaveryarchive.georgetown.edu/items/show/159,MPA-65-2-Grivel-Lancaster-1836-01-06.json
1994,2236,"1836-05-18, Sam sale ",Sam,1836-05-18,sale,,May be one of the 11 reported sold for $4000 on 1835-09-19 and mentioned in Grivel’s letter to Lancaster in 1836-01-06.,20,,125,$,,,,,,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/311,http://slaveryarchive.georgetown.edu/items/show/159,MPA-65-2-Grivel-Lancaster-1836-01-06.json
1995,2237,"1836-05-18, Hilly sale ",Hilly,1836-05-18,sale,,sold out of state to S. Henry Gough. May be one of the 11 reported sold for $4000 on 1835-09-19 and mentioned in Grivel’s letter to Lancaster in 1836-01-06.,17,,125,$,,,Joseph Carbery,J033,998,purchased by S. Henry Gough,NJ107,3718,3,,,,http://slaveryarchive.georgetown.edu/items/show/311,http://slaveryarchive.georgetown.edu/items/show/159,MPA-65-2-Grivel-Lancaster-1836-01-06.json
2465,2425,"1836-05-18, Charles sale ",Charles,1836-05-18,sale,,May be one of the 11 reported sold for $4000 on 1835-09-19 and mentioned in Grivel’s letter to Lancaster in 1836-01-06.,21,,125,$,,,Joseph Carbery,J033,998,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/311,http://slaveryarchive.georgetown.edu/items/show/159,MPA-65-2-Grivel-Lancaster-1836-01-06.json
2471,2432,"1836-05-18, Eliza sale ",Eliza,1836-05-18,sale,,May be one of the 11 reported sold for $4000 on 1835-09-19 and mentioned in Grivel’s letter to Lancaster in 1836-01-06.,32,,80,$,,,Joseph Carbery,J033,998,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/311,http://slaveryarchive.georgetown.edu/items/show/159,MPA-65-2-Grivel-Lancaster-1836-01-06.json
2475,2436,"1836-05-18, Emily sale ",Emily,1836-05-18,sale,,May be one of the 11 reported sold for $4000 on 1835-09-19 and mentioned in Grivel’s letter to Lancaster in 1836-01-06.,1,,5,$,,,Joseph Carbery,J033,998,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/311,http://slaveryarchive.georgetown.edu/items/show/159,MPA-65-2-Grivel-Lancaster-1836-01-06.json
2501,2465,"1836-05-18, Leonard sale ",Leonard,1836-05-18,sale,,May be one of the 11 reported sold for $4000 on 1835-09-19 and mentioned in Grivel’s letter to Lancaster in 1836-01-06.,31,,125,$,,,Joseph Carbery,J033,998,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/311,http://slaveryarchive.georgetown.edu/items/show/159,MPA-65-2-Grivel-Lancaster-1836-01-06.json
2510,2473,"1836-05-18, Maria sale ",Maria,1836-05-18,sale,,sold out of state to S. Henry Gough. May be one of the 11 reported sold for $4000 on 1835-09-19 and mentioned in Grivel’s letter to Lancaster in 1836-01-06.,25,,80,$,,,Joseph Carbery,J033,998,purchased by S. Henry Gough,NJ107,3718,3,,,,http://slaveryarchive.georgetown.edu/items/show/311,http://slaveryarchive.georgetown.edu/items/show/159,MPA-65-2-Grivel-Lancaster-1836-01-06.json
2511,2474,"1836-05-18, Martha sale ",Martha,1836-05-18,sale,,May be one of the 11 reported sold for $4000 on 1835-09-19 and mentioned in Grivel’s letter to Lancaster in 1836-01-06.,7,,35,$,,,Joseph Carbery,J033,998,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/311,http://slaveryarchive.georgetown.edu/items/show/159,MPA-65-2-Grivel-Lancaster-1836-01-06.json
2521,2486,"1836-05-18, Peter sale ",Peter,1836-05-18,sale,,May be one of the 11 reported sold for $4000 on 1835-09-19 and mentioned in Grivel’s letter to Lancaster in 1836-01-06.,17,,125,$,,,Joseph Carbery,J033,998,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/311,http://slaveryarchive.georgetown.edu/items/show/159,MPA-65-2-Grivel-Lancaster-1836-01-06.json
2523,2488,"1836-05-18, Phill sale ",Phill,1836-05-18,sale,,May be one of the 11 reported sold for $4000 on 1835-09-19 and mentioned in Grivel’s letter to Lancaster in 1836-01-06.,50,,50,$,,,Joseph Carbery,J033,998,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/311,http://slaveryarchive.georgetown.edu/items/show/159,MPA-65-2-Grivel-Lancaster-1836-01-06.json
2526,2491,"1836-05-18, Sally sale ",Sally,1836-05-18,sale,,May be one of the 11 reported sold for $4000 on 1835-09-19 and mentioned in Grivel’s letter to Lancaster in 1836-01-06.,6,,30,$,,,Joseph Carbery,J033,998,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/311,http://slaveryarchive.georgetown.edu/items/show/159,MPA-65-2-Grivel-Lancaster-1836-01-06.json
3604,2510,"1836-05-18, Ann sale ",Ann,1836-05-18,sale,,sold out of state to S. Henry Gough. May be one of the 11 reported sold for $4000 on 1835-09-19 and mentioned in Grivel’s letter to Lancaster in 1836-01-06.,3,,15,$,,,Joseph Carbery,J033,998,purchased by S. Henry Gough,NJ107,3718,3,,,,http://slaveryarchive.georgetown.edu/items/show/311,http://slaveryarchive.georgetown.edu/items/show/159,MPA-65-2-Grivel-Lancaster-1836-01-06.json
3605,2511,"1836-05-18, Gilbert sale ",Gilbert,1836-05-18,sale,,May be one of the 11 reported sold for $4000 on 1835-09-19 and mentioned in Grivel’s letter to Lancaster in 1836-01-06.,2,,10,$,,,Joseph Carbery,J033,998,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/311,http://slaveryarchive.georgetown.edu/items/show/159,MPA-65-2-Grivel-Lancaster-1836-01-06.json
3606,2512,"1836-05-18, Henry sale ",Henry,1836-05-18,sale,,May be one of the 11 reported sold for $4000 on 1835-09-19 and mentioned in Grivel’s letter to Lancaster in 1836-01-06.,2,,10,$,,,Joseph Carbery,J033,998,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/311,http://slaveryarchive.georgetown.edu/items/show/159,MPA-65-2-Grivel-Lancaster-1836-01-06.json
3607,2513,"1836-05-18, Isaac sale ",Isaac,1836-05-18,sale,,May be one of the 11 reported sold for $4000 on 1835-09-19 and mentioned in Grivel’s letter to Lancaster in 1836-01-06.,17,,125,$,,,Joseph Carbery,J033,998,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/311,http://slaveryarchive.georgetown.edu/items/show/159,MPA-65-2-Grivel-Lancaster-1836-01-06.json
3608,2514,"1836-05-27, Emely sale ",Emely,1836-05-27,sale,,Under 10 years old,,Under 10,,,,,Joseph Carbery,J033,998,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/310,,
3609,2515,"1836-05-27, Henry sale ",Henry,1836-05-27,sale,,Under 10 years old,,Under 10,,,,,Joseph Carbery,J033,998,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/310,,
3610,2516,"1836-05-27, John sale ",John,1836-05-27,sale,,Under 10 years old,,Under 10,,,,,Joseph Carbery,J033,998,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/310,,
3611,2517,"1836-05-27, Margaret sale ",Margaret,1836-05-27,sale,,Under 10 years old,,Under 10,,,,,Joseph Carbery,J033,998,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/310,,
3612,2518,"1836-05-27, Mary ann sale ",Mary ann,1836-05-27,sale,,Under 10 years old,,Under 10,,,,,Joseph Carbery,J033,998,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/310,,
3613,2519,"1836-05-27, Thomas sale ",Thomas,1836-05-27,sale,,Under 10 years old,,Under 10,,,,,Joseph Carbery,J033,998,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/310,,
3614,2520,"1837-06-20, Hamilton sale ",Hamilton,1837-06-20,sale,,sold out of state,25,,125,$,,,Joseph Carbery,J033,998,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/307,,
